extensions,idx-context,type
angle_instanced_arrays,7063,2
ext_blend_minmax,2283,2
ext_color_buffer_float,4222,2
ext_color_buffer_float_linear,1,1
ext_color_buffer_half_float,4261,2
ext_disjoint_timer_query,967,2
ext_disjoint_timer_query_webgl2,404,2
ext_draw_buffers,1,1
ext_float_blend,1050,2
ext_frag_depth,1406,2
ext_multisampled_render_to_texture,8,1
ext_polygon_offset_clamp,2,1
ext_shader_texture_lod,1318,2
ext_srgb,109,2
ext_texture_compression_bptc,566,2
ext_texture_compression_rgtc,122,2
ext_texture_filter_anisotropic,8770,2
ext_texture_norm16,149,1
gl_img_texture_compression_pvrtc,3,1
gl_oes_standard_derivatives,1,1
img_texture_compression_pvrtc,3,1
khr_parallel_shader_compile,647,2
moz_angle_instanced_arrays,2,1
moz_ext_blend_minmax,2,1
moz_ext_color_buffer_half_float,2,1
moz_ext_disjoint_timer_query,2,1
moz_ext_srgb,2,1
moz_ext_texture_filter_anisotropic,30,2
moz_oes_standard_derivatives,2,1
moz_oes_texture_half_float,2,1
moz_oes_texture_half_float_linear,1,1
moz_oes_vertex_array_object,5,2
moz_webgl_color_buffer_float,2,1
moz_webgl_compressed_texture_astc,9,2
moz_webgl_compressed_texture_atc,11,2
moz_webgl_compressed_texture_etc,5,1
moz_webgl_compressed_texture_etc1,8,2
moz_webgl_compressed_texture_pvrtc,15,2
moz_webgl_compressed_texture_s3tc,2,1
moz_webgl_compressed_texture_s3tc_srgb,2,1
moz_webgl_depth_texture,9,2
moz_webgl_draw_buffers,2,1
ms_angle_instanced_arrays,2,1
ms_ext_blend_minmax,2,1
ms_ext_color_buffer_half_float,2,1
ms_ext_disjoint_timer_query,2,1
ms_ext_srgb,2,1
ms_ext_texture_filter_anisotropic,2,1
ms_oes_standard_derivatives,2,1
ms_oes_texture_half_float,2,1
ms_oes_vertex_array_object,2,1
ms_webgl_color_buffer_float,2,1
ms_webgl_compressed_texture_astc,2,1
ms_webgl_compressed_texture_atc,2,1
ms_webgl_compressed_texture_etc,2,1
ms_webgl_compressed_texture_etc1,2,1
ms_webgl_compressed_texture_pvrtc,2,1
ms_webgl_compressed_texture_s3tc,2,1
ms_webgl_compressed_texture_s3tc_srgb,2,1
ms_webgl_depth_texture,2,1
ms_webgl_draw_buffers,2,1
nvx_gpu_memory_info,3,1
o_angle_instanced_arrays,2,1
o_ext_blend_minmax,2,1
o_ext_color_buffer_half_float,2,1
o_ext_disjoint_timer_query,2,1
o_ext_srgb,2,1
o_ext_texture_filter_anisotropic,2,1
o_oes_standard_derivatives,2,1
o_oes_texture_half_float,2,1
o_oes_vertex_array_object,2,1
o_webgl_color_buffer_float,2,1
o_webgl_compressed_texture_astc,2,1
o_webgl_compressed_texture_atc,2,1
o_webgl_compressed_texture_etc,2,1
o_webgl_compressed_texture_etc1,2,1
o_webgl_compressed_texture_pvrtc,2,1
o_webgl_compressed_texture_s3tc,2,1
o_webgl_compressed_texture_s3tc_srgb,2,1
o_webgl_depth_texture,2,1
o_webgl_draw_buffers,2,1
oculus_multiview,203,2
oes_draw_buffers_indexed,66,1
oes_element_index_uint,7258,2
oes_fbo_render_mipmap,91,1
oes_float_linear,4,1
oes_half_float_linear,3,1
oes_seamless_cube_map,11,2
oes_standard_derivatives,7028,2
oes_texture_float,6551,2
oes_texture_float_linear,10838,2
oes_texture_half_float,5883,2
oes_texture_half_float_linear,5895,2
oes_vertex_array_object,3003,2
ovr_multiview2,290,2
texture_filter_anisotropic,12,2
webg_compressed_texture_etc,58,2
webgl,1,1
webgl_blend_equation_advanced_coherent,2,1
webgl_clip_cull_distance,2,1
webgl_color_buffer_float,1227,2
webgl_compressed_texture_astc,1031,2
webgl_compressed_texture_atc,486,2
webgl_compressed_texture_bptc,1,1
webgl_compressed_texture_es3,1,1
webgl_compressed_texture_es3_0,232,2
webgl_compressed_texture_etc,911,2
webgl_compressed_texture_etc1,1138,2
webgl_compressed_texture_pvrtc,1148,2
webgl_compressed_texture_rgtc,1,1
webgl_compressed_texture_s3tc,2423,2
webgl_compressed_texture_s3tc_srgb,807,2
webgl_debug_renderer_info,6118,2
webgl_debug_shaders,231,2
webgl_depth_texture,5547,2
webgl_draw_buffers,1380,2
webgl_draw_instanced_base_vertex_base_instance,70,2
webgl_get_buffer_sub_data_async,1,1
webgl_lose_context,4229,2
webgl_multi_draw,123,2
webgl_multi_draw_instanced_base_vertex_base_instance,70,2
webgl_multisampled_render_to_texture,1288,2
webgl_provoking_vertex,67,1
webgl_shader_pixel_local_storage,2,1
webkit_angle_instanced_arrays,2,1
webkit_ext_blend_minmax,2,1
webkit_ext_color_buffer_half_float,2,1
webkit_ext_disjoint_timer_query,2,1
webkit_ext_srgb,2,1
webkit_ext_texture_filter_anisotropic,199,2
webkit_oes_standard_derivatives,2,1
webkit_oes_texture_half_float,2,1
webkit_oes_texture_half_float_linear,1,1
webkit_oes_vertex_array_object,5,2
webkit_webgl_color_buffer_float,2,1
webkit_webgl_compressed_texture_astc,240,2
webkit_webgl_compressed_texture_atc,12,2
webkit_webgl_compressed_texture_bptc,1,1
webkit_webgl_compressed_texture_etc,236,2
webkit_webgl_compressed_texture_etc1,270,2
webkit_webgl_compressed_texture_pvrtc,1134,2
webkit_webgl_compressed_texture_rgtc,1,1
webkit_webgl_compressed_texture_s3tc,10,2
webkit_webgl_compressed_texture_s3tc_srgb,2,1
webkit_webgl_depth_texture,37,2
webkit_webgl_draw_buffers,2,1
